id	x	y	name
1	6.04	50.76	Aachen
2	10.9	48.33	Augsburg
3	11.59	49.93	Bayreuth
4	13.39	52.52	Berlin
5	8.5	52.04	Bielefeld
6	10.55	52.28	Braunschweig
7	8.85	53.11	Bremen
8	8.58	53.54	Bremerhaven
9	12.93	50.84	Chemnitz
10	8.65	49.89	Darmstadt
11	7.45	51.51	Dortmund
12	13.73	51.03	Dresden
13	6.77	51.25	Duesseldorf
14	11.04	50.98	Erfurt
15	7.02	51.46	Essen
16	9.45	54.77	Flensburg
17	8.71	50.12	Frankfurt
18	7.8	47.98	Freiburg
19	9.69	50.56	Fulda
20	8.67	50.57	Giessen
21	13.4	54.09	Greifswald
22	9.99	53.57	Hamburg
23	9.72	52.38	Hannover
24	7.75	49.43	Kaiserslautern
25	8.41	49.01	Karlsruhe
26	9.51	51.32	Kassel
27	10.32	47.72	Kempten
28	10.12	54.34	Kiel
29	7.52	50.4	Koblenz
30	6.87	50.94	Koeln
31	9.18	47.66	Konstanz
32	12.38	51.34	Leipzig
33	11.64	52.14	Magdeburg
34	8.49	49.49	Mannheim
35	11.57	48.15	Muenchen
36	7.6	51.97	Muenster
37	7.21	53.6	Norden
38	11.03	49.57	Nuernberg
39	8.21	53.11	Oldenburg
40	8.03	52.28	Osnabrueck
41	13.46	48.57	Passau
42	12.09	49.0	Regensburg
43	7.03	49.23	Saarbruecken
44	11.45	53.55	Schwerin
45	8.03	50.91	Siegen
46	9.1	48.74	Stuttgart
47	6.68	49.75	Trier
48	9.99	48.4	Ulm
49	6.37	51.39	Wesel
50	9.97	49.78	Wuerzburg
